session_code,group_id,chat_id,From,To,body,timestamp,nickname,participant_code,channel
6vf3sgej,4,1,Red,Blue,we we,1777974722.6930473,RightPartner,1i6iv58t,2-bargaining_tdl_main-4_1_3
6vf3sgej,4,2,Red,Blue,allo,1777974723.9738932,RightPartner,1i6iv58t,2-bargaining_tdl_main-4_1_3
6vf3sgej,4,3,Red,Blue,che famo?,1777974726.6129978,RightPartner,1i6iv58t,2-bargaining_tdl_main-4_1_3
6vf3sgej,4,4,Red,Green,we che vuoi fare?,1777974734.1584022,LeftPartner,1i6iv58t,2-bargaining_tdl_main-4_1_2
6vf3sgej,4,5,Green,Red,facciamo split 50/50?,1777974745.5647128,RightPartner,eidw00zh,2-bargaining_tdl_main-4_1_2
6vf3sgej,4,6,Green,Blue,facciamo una split io e te?,1777974761.1688643,LeftPartner,eidw00zh,2-bargaining_tdl_main-4_2_3
6vf3sgej,4,7,Blue,Green,ma sei fuori?,1777974770.6943233,RightPartner,59r488q8,2-bargaining_tdl_main-4_2_3
6vf3sgej,4,8,Blue,Red,facciamo tutti per tutti va,1777974780.7481012,LeftPartner,59r488q8,2-bargaining_tdl_main-4_1_3
6vf3sgej,5,1,Red,Blue,avavavav,1777978751.326904,RightPartner,btqhauwi,2-bargaining_tdl_main-5_1_3
6vf3sgej,5,2,Red,Blue,sgshbehehtethn,1777978779.1513257,RightPartner,btqhauwi,2-bargaining_tdl_main-5_1_3
pw1f4pme,2,1,Green,Red,prova,1777966092.3500078,RightPartner,wy7rg0s3,1-bargaining_tdl_main-2_1_2
pw1f4pme,2,2,Green,Red,prova,1777966094.4051158,RightPartner,wy7rg0s3,1-bargaining_tdl_main-2_1_2
pw1f4pme,2,3,Green,Red,sa,1777966095.241595,RightPartner,wy7rg0s3,1-bargaining_tdl_main-2_1_2
pw1f4pme,2,4,Green,Red,sa,1777966096.0742416,RightPartner,wy7rg0s3,1-bargaining_tdl_main-2_1_2
pw1f4pme,2,5,Green,Blue,prova,1777966104.9008353,LeftPartner,wy7rg0s3,1-bargaining_tdl_main-2_2_3
pw1f4pme,2,6,Green,Blue,sa,1777966107.6286988,LeftPartner,wy7rg0s3,1-bargaining_tdl_main-2_2_3
pw1f4pme,2,7,Green,Blue,sa,1777966108.434588,LeftPartner,wy7rg0s3,1-bargaining_tdl_main-2_2_3
pw1f4pme,2,8,Green,Blue,sa,1777966109.2057512,LeftPartner,wy7rg0s3,1-bargaining_tdl_main-2_2_3
pw1f4pme,2,9,Green,Blue,sa,1777966110.4664297,LeftPartner,wy7rg0s3,1-bargaining_tdl_main-2_2_3
pw1f4pme,2,10,Red,Green,we,1777966155.263776,LeftPartner,94udhtjo,1-bargaining_tdl_main-2_1_2
pw1f4pme,2,11,Red,Green,io so il red,1777966158.280088,LeftPartner,94udhtjo,1-bargaining_tdl_main-2_1_2
pw1f4pme,2,12,Red,Green,prova prova ,1777966161.8507164,LeftPartner,94udhtjo,1-bargaining_tdl_main-2_1_2
pw1f4pme,2,13,Red,Green,sa,1777966163.4336925,LeftPartner,94udhtjo,1-bargaining_tdl_main-2_1_2
pw1f4pme,2,14,Red,Green,sa,1777966165.693718,LeftPartner,94udhtjo,1-bargaining_tdl_main-2_1_2
pw1f4pme,2,15,Red,Blue,"ciao blu, io so er red",1777966176.0859408,RightPartner,94udhtjo,1-bargaining_tdl_main-2_1_3
pw1f4pme,2,16,Red,Blue,che fammo?,1777966178.762925,RightPartner,94udhtjo,1-bargaining_tdl_main-2_1_3
pw1f4pme,2,17,Red,Blue,dividiamo equalmente?,1777966188.1752648,RightPartner,94udhtjo,1-bargaining_tdl_main-2_1_3
pw1f4pme,2,18,Blue,Green,io so il blu,1777966199.8697946,RightPartner,cgkblckg,1-bargaining_tdl_main-2_2_3
pw1f4pme,2,19,Blue,Green,che famo?,1777966201.9487314,RightPartner,cgkblckg,1-bargaining_tdl_main-2_2_3
pw1f4pme,2,20,Blue,Green,uno split equo ci stai?,1777966209.5860722,RightPartner,cgkblckg,1-bargaining_tdl_main-2_2_3
pw1f4pme,2,21,Blue,Red,facciamo 50/50 e amen dai,1777966224.0502965,LeftPartner,cgkblckg,1-bargaining_tdl_main-2_1_3
pw1f4pme,2,22,Green,Blue,dai si perchè no,1777966238.1692102,LeftPartner,wy7rg0s3,1-bargaining_tdl_main-2_2_3
pw1f4pme,2,23,Green,Blue,tutti prendiamo qualcosa e siamo più contenti,1777966251.0739806,LeftPartner,wy7rg0s3,1-bargaining_tdl_main-2_2_3
splv0pa2,11,1,Red,Blue,"Ciao Blu, io sono il Red",1778076929.4041388,RightPartner,004uob5s,6-bargaining_tdl_main-11_1_3
splv0pa2,11,2,Red,Blue,che vuoi fare?,1778076933.0211074,RightPartner,004uob5s,6-bargaining_tdl_main-11_1_3
splv0pa2,11,3,Red,Blue,io sarei per fare 6 a testa e via. andiamo al prossimo gioco,1778076952.4067218,RightPartner,004uob5s,6-bargaining_tdl_main-11_1_3
splv0pa2,11,4,Red,Blue,che ne pensi?,1778076955.4837012,RightPartner,004uob5s,6-bargaining_tdl_main-11_1_3
splv0pa2,11,5,Blue,Red,"Ciao red, io sono il blu. Dai si potrebbe fare perchè no",1778076981.8622942,LeftPartner,re47i6yv,6-bargaining_tdl_main-11_1_3
splv0pa2,11,6,Blue,Red,prendiamo 6 a testa e via,1778076990.9901392,LeftPartner,re47i6yv,6-bargaining_tdl_main-11_1_3
splv0pa2,11,7,Blue,Green,we green che dici?,1778076999.7119417,RightPartner,re47i6yv,6-bargaining_tdl_main-11_2_3
splv0pa2,11,8,Blue,Green,vuoi  prendere 2 punti in più del minimo?,1778077011.426999,RightPartner,re47i6yv,6-bargaining_tdl_main-11_2_3
splv0pa2,11,9,Green,Blue,"ciao Blue, si sono il green",1778077026.3333092,LeftPartner,2g8ikea0,6-bargaining_tdl_main-11_2_3
splv0pa2,11,10,Green,Blue,mah ti direi,1778077035.93468,LeftPartner,2g8ikea0,6-bargaining_tdl_main-11_2_3
