session_code,id_in_session,participant_code,channel,nickname,body,timestamp
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_1_2,RightPartner,prova,1777966092.3500078
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_1_2,RightPartner,prova,1777966094.4051158
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_1_2,RightPartner,sa,1777966095.241595
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_1_2,RightPartner,sa,1777966096.0742416
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_2_3,LeftPartner,prova,1777966104.9008353
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_2_3,LeftPartner,sa,1777966107.6286988
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_2_3,LeftPartner,sa,1777966108.434588
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_2_3,LeftPartner,sa,1777966109.2057512
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_2_3,LeftPartner,sa,1777966110.4664297
pw1f4pme,7,94udhtjo,1-bargaining_tdl_main-2_1_2,LeftPartner,we,1777966155.263776
pw1f4pme,7,94udhtjo,1-bargaining_tdl_main-2_1_2,LeftPartner,io so il red,1777966158.280088
pw1f4pme,7,94udhtjo,1-bargaining_tdl_main-2_1_2,LeftPartner,prova prova ,1777966161.8507164
pw1f4pme,7,94udhtjo,1-bargaining_tdl_main-2_1_2,LeftPartner,sa,1777966163.4336925
pw1f4pme,7,94udhtjo,1-bargaining_tdl_main-2_1_2,LeftPartner,sa,1777966165.693718
pw1f4pme,7,94udhtjo,1-bargaining_tdl_main-2_1_3,RightPartner,"ciao blu, io so er red",1777966176.0859408
pw1f4pme,7,94udhtjo,1-bargaining_tdl_main-2_1_3,RightPartner,che fammo?,1777966178.762925
pw1f4pme,7,94udhtjo,1-bargaining_tdl_main-2_1_3,RightPartner,dividiamo equalmente?,1777966188.1752648
pw1f4pme,9,cgkblckg,1-bargaining_tdl_main-2_2_3,RightPartner,io so il blu,1777966199.8697946
pw1f4pme,9,cgkblckg,1-bargaining_tdl_main-2_2_3,RightPartner,che famo?,1777966201.9487314
pw1f4pme,9,cgkblckg,1-bargaining_tdl_main-2_2_3,RightPartner,uno split equo ci stai?,1777966209.5860722
pw1f4pme,9,cgkblckg,1-bargaining_tdl_main-2_1_3,LeftPartner,facciamo 50/50 e amen dai,1777966224.0502965
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_2_3,LeftPartner,dai si perchè no,1777966238.1692102
pw1f4pme,8,wy7rg0s3,1-bargaining_tdl_main-2_2_3,LeftPartner,tutti prendiamo qualcosa e siamo più contenti,1777966251.0739806
6vf3sgej,1,1i6iv58t,2-bargaining_tdl_main-4_1_3,RightPartner,we we,1777974722.6930473
6vf3sgej,1,1i6iv58t,2-bargaining_tdl_main-4_1_3,RightPartner,allo,1777974723.9738932
6vf3sgej,1,1i6iv58t,2-bargaining_tdl_main-4_1_3,RightPartner,che famo?,1777974726.6129978
6vf3sgej,1,1i6iv58t,2-bargaining_tdl_main-4_1_2,LeftPartner,we che vuoi fare?,1777974734.1584022
6vf3sgej,2,eidw00zh,2-bargaining_tdl_main-4_1_2,RightPartner,facciamo split 50/50?,1777974745.5647128
6vf3sgej,2,eidw00zh,2-bargaining_tdl_main-4_2_3,LeftPartner,facciamo una split io e te?,1777974761.1688643
6vf3sgej,3,59r488q8,2-bargaining_tdl_main-4_2_3,RightPartner,ma sei fuori?,1777974770.6943233
6vf3sgej,3,59r488q8,2-bargaining_tdl_main-4_1_3,LeftPartner,facciamo tutti per tutti va,1777974780.7481012
6vf3sgej,6,btqhauwi,2-bargaining_tdl_main-5_1_3,RightPartner,avavavav,1777978751.326904
6vf3sgej,6,btqhauwi,2-bargaining_tdl_main-5_1_3,RightPartner,sgshbehehtethn,1777978779.1513257
y1ycsbji,2,jnkcelh9,5-bargaining_tdl_main-9_1_2,RightPartner,we,1777991579.4786673
y1ycsbji,2,jnkcelh9,5-bargaining_tdl_main-9_1_2,RightPartner,ew,1777991580.5031395
splv0pa2,1,004uob5s,6-bargaining_tdl_main-11_1_3,RightPartner,"Ciao Blu, io sono il Red",1778076929.4041388
splv0pa2,1,004uob5s,6-bargaining_tdl_main-11_1_3,RightPartner,che vuoi fare?,1778076933.0211074
splv0pa2,1,004uob5s,6-bargaining_tdl_main-11_1_3,RightPartner,io sarei per fare 6 a testa e via. andiamo al prossimo gioco,1778076952.4067218
splv0pa2,1,004uob5s,6-bargaining_tdl_main-11_1_3,RightPartner,che ne pensi?,1778076955.4837012
splv0pa2,3,re47i6yv,6-bargaining_tdl_main-11_1_3,LeftPartner,"Ciao red, io sono il blu. Dai si potrebbe fare perchè no",1778076981.8622942
splv0pa2,3,re47i6yv,6-bargaining_tdl_main-11_1_3,LeftPartner,prendiamo 6 a testa e via,1778076990.9901392
splv0pa2,3,re47i6yv,6-bargaining_tdl_main-11_2_3,RightPartner,we green che dici?,1778076999.7119417
splv0pa2,3,re47i6yv,6-bargaining_tdl_main-11_2_3,RightPartner,vuoi  prendere 2 punti in più del minimo?,1778077011.426999
splv0pa2,2,2g8ikea0,6-bargaining_tdl_main-11_2_3,LeftPartner,"ciao Blue, si sono il green",1778077026.3333092
splv0pa2,2,2g8ikea0,6-bargaining_tdl_main-11_2_3,LeftPartner,mah ti direi,1778077035.93468
splv0pa2,2,2g8ikea0,6-bargaining_tdl_main-11_2_3,LeftPartner,2 in più?,1778077039.8438168
splv0pa2,2,2g8ikea0,6-bargaining_tdl_main-11_1_2,RightPartner,ehi red,1778077045.634677
splv0pa2,2,2g8ikea0,6-bargaining_tdl_main-11_1_2,RightPartner,che vuoi fare?,1778077048.378811
splv0pa2,1,004uob5s,6-bargaining_tdl_main-11_1_2,LeftPartner,ok ok,1778077053.9927
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_1_3,LeftPartner,sno il blu e ,1778769072.3486538
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_1_3,LeftPartner,lasciero,1778769076.0766735
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_1_3,LeftPartner,la chat,1778769078.6115112
ydcii5mf,1,frsokvko,13-bargaining_tdl_main-26_1_3,RightPartner,ok cazzo mene,1778769101.3415327
ydcii5mf,1,frsokvko,13-bargaining_tdl_main-26_1_3,RightPartner,fai quello che credi,1778769107.671523
ydcii5mf,1,frsokvko,13-bargaining_tdl_main-26_1_2,LeftPartner,c m fa?,1778769114.797361
ydcii5mf,4,vjee2hk6,13-bargaining_tdl_main-26_1_2,RightPartner,c we fa?,1778769130.319341
ydcii5mf,4,vjee2hk6,13-bargaining_tdl_main-26_2_3,LeftPartner,che ti fraga a te?,1778769137.9922295
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_2_3,RightPartner,io lascio appena scade,1778769146.2922037
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_2_3,RightPartner,me ne fotto,1778769149.3358285
ydcii5mf,4,vjee2hk6,13-bargaining_tdl_main-26_2_3,LeftPartner,dai oh,1778769155.8054142
ydcii5mf,4,vjee2hk6,13-bargaining_tdl_main-26_2_3,LeftPartner,stai al gioco,1778769159.9691918
ydcii5mf,4,vjee2hk6,13-bargaining_tdl_main-26_2_3,LeftPartner,c caz,1778769162.89137
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_1_3,LeftPartner,il green mi dice di restare,1778769175.3553874
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_1_3,LeftPartner,che ne pensi?,1778769178.3672116
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_1_3,LeftPartner,lo fottiamo?,1778769182.605353
ydcii5mf,1,frsokvko,13-bargaining_tdl_main-26_1_3,RightPartner,eh eh tu c disc?,1778769194.8950062
ydcii5mf,1,frsokvko,13-bargaining_tdl_main-26_1_3,RightPartner,6-6?,1778769198.3561437
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_1_3,LeftPartner,essi dai,1778769204.844069
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_1_3,LeftPartner,mo gli dico che sfanculo,1778769211.34506
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_1_3,LeftPartner,e poi scelgo comunqueeeeee,1778769220.0883908
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_2_3,RightPartner,wa fa l bkkin,1778769226.7877414
ydcii5mf,1,frsokvko,13-bargaining_tdl_main-26_1_2,LeftPartner,equal split bro,1778769244.3767197
ydcii5mf,4,vjee2hk6,13-bargaining_tdl_main-26_1_2,RightPartner,ok allora vado per equal split,1778769257.511443
ydcii5mf,4,vjee2hk6,13-bargaining_tdl_main-26_1_2,RightPartner,mi sembra più giusto,1778769263.812981
ydcii5mf,4,vjee2hk6,13-bargaining_tdl_main-26_2_3,LeftPartner,io farò equal split,1778769286.9850147
ydcii5mf,4,vjee2hk6,13-bargaining_tdl_main-26_2_3,LeftPartner,ho accordo con il rosso,1778769299.0554798
ydcii5mf,1,frsokvko,13-bargaining_tdl_main-26_1_3,RightPartner,vai famo 6-6,1778769337.124209
ydcii5mf,1,frsokvko,13-bargaining_tdl_main-26_1_3,RightPartner,stratop,1778769345.7453818
ydcii5mf,5,nhtas8ou,13-bargaining_tdl_main-26_1_3,LeftPartner,oooooookkkkk,1778769354.6951542
